Genome,,Strain,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Pseudomonas aeruginosa,strain,CH4780,fig:287.12461.peg.490,,,PATRIC.287.12461.287.12461.con.0001.CDS.492283.493308.rev,PATRIC,CDS,492283,493308,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4766,fig:287.12462.peg.1311,,,PATRIC.287.12462.287.12462.con.0002.CDS.40427.41467.fwd,PATRIC,CDS,40427,41467,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4733,fig:287.12463.peg.238,,,PATRIC.287.12463.287.12463.con.0001.CDS.249192.250217.fwd,PATRIC,CDS,249192,250217,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4634,fig:287.12464.peg.659,,,PATRIC.287.12464.287.12464.con.0001.CDS.645146.646171.rev,PATRIC,CDS,645146,646171,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4684,fig:287.12465.peg.1651,,,PATRIC.287.12465.287.12465.con.0003.CDS.318237.319121.rev,PATRIC,CDS,318237,319121,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4681,fig:287.12466.peg.1766,,,PATRIC.287.12466.287.12466.con.0003.CDS.515705.516493.rev,PATRIC,CDS,515705,516493,789,-,,PLF_286_00001745,PGF_00780840,,262,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4990,fig:287.12467.peg.922,,,PATRIC.287.12467.287.12467.con.0001.CDS.947436.948476.rev,PATRIC,CDS,947436,948476,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4914,fig:287.12469.peg.1096,,,PATRIC.287.12469.287.12469.con.0003.CDS.21598.22617.fwd,PATRIC,CDS,21598,22617,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4916,fig:287.12470.peg.1087,,,PATRIC.287.12470.287.12470.con.0003.CDS.6343.7368.fwd,PATRIC,CDS,6343,7368,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5193,fig:287.12471.peg.1221,,,PATRIC.287.12471.287.12471.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4860,fig:287.12472.peg.2851,,,PATRIC.287.12472.287.12472.con.0006.CDS.2386.3411.fwd,PATRIC,CDS,2386,3411,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4840,fig:287.12473.peg.2191,,,PATRIC.287.12473.287.12473.con.0004.CDS.431527.432555.rev,PATRIC,CDS,431527,432555,1029,-,,PLF_286_00001745,PGF_00780840,,342,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4785,fig:287.12474.peg.2540,,,PATRIC.287.12474.287.12474.con.0004.CDS.458539.459558.rev,PATRIC,CDS,458539,459558,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4891,fig:287.12475.peg.924,,,PATRIC.287.12475.287.12475.con.0002.CDS.43154.44179.fwd,PATRIC,CDS,43154,44179,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4862,fig:287.12476.peg.1053,,,PATRIC.287.12476.287.12476.con.0002.CDS.505860.506879.rev,PATRIC,CDS,505860,506879,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4877,fig:287.12477.peg.1119,,,PATRIC.287.12477.287.12477.con.0003.CDS.40155.41180.fwd,PATRIC,CDS,40155,41180,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5353,fig:287.12478.peg.2095,,,PATRIC.287.12478.287.12478.con.0004.CDS.435992.437032.rev,PATRIC,CDS,435992,437032,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5267,fig:287.12479.peg.37,,,PATRIC.287.12479.287.12479.con.0001.CDS.39048.40073.fwd,PATRIC,CDS,39048,40073,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5262,fig:287.12480.peg.774,,,PATRIC.287.12480.287.12480.con.0001.CDS.824975.825859.rev,PATRIC,CDS,824975,825859,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5334,fig:287.12481.peg.6193,,,PATRIC.287.12481.287.12481.con.0034.CDS.50866.51891.rev,PATRIC,CDS,50866,51891,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5291,fig:287.12482.peg.2175,,,PATRIC.287.12482.287.12482.con.0004.CDS.38767.39792.fwd,PATRIC,CDS,38767,39792,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5362,fig:287.12483.peg.1896,,,PATRIC.287.12483.287.12483.con.0004.CDS.46536.47555.fwd,PATRIC,CDS,46536,47555,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5356,fig:287.12484.peg.1025,,,PATRIC.287.12484.287.12484.con.0001.CDS.1054150.1055190.rev,PATRIC,CDS,1054150,1055190,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5462,fig:287.12485.peg.3676,,,PATRIC.287.12485.287.12485.con.0009.CDS.42872.43897.fwd,PATRIC,CDS,42872,43897,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5387,fig:287.12487.peg.2584,,,PATRIC.287.12487.287.12487.con.0007.CDS.46445.47464.fwd,PATRIC,CDS,46445,47464,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5363,fig:287.12488.peg.43,,,PATRIC.287.12488.287.12488.con.0001.CDS.46562.47581.fwd,PATRIC,CDS,46562,47581,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5550,fig:287.12489.peg.994,,,PATRIC.287.12489.287.12489.con.0003.CDS.40422.41462.fwd,PATRIC,CDS,40422,41462,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5597,fig:287.12490.peg.1289,,,PATRIC.287.12490.287.12490.con.0002.CDS.42033.43058.fwd,PATRIC,CDS,42033,43058,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5591,fig:287.12491.peg.943,,,PATRIC.287.12491.287.12491.con.0003.CDS.40155.41180.fwd,PATRIC,CDS,40155,41180,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5596,fig:287.12492.peg.444,,,PATRIC.287.12492.287.12492.con.0001.CDS.439931.440956.rev,PATRIC,CDS,439931,440956,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5551,fig:287.12493.peg.1706,,,PATRIC.287.12493.287.12493.con.0004.CDS.362072.363091.rev,PATRIC,CDS,362072,363091,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5621,fig:287.12494.peg.1577,,,PATRIC.287.12494.287.12494.con.0003.CDS.446855.447880.rev,PATRIC,CDS,446855,447880,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5478,fig:287.12495.peg.6127,,,PATRIC.287.12495.287.12495.con.0037.CDS.13406.14431.fwd,PATRIC,CDS,13406,14431,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5531,fig:287.12496.peg.1764,,,PATRIC.287.12496.287.12496.con.0003.CDS.451590.452630.rev,PATRIC,CDS,451590,452630,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5548,fig:287.12497.peg.3325,,,PATRIC.287.12497.287.12497.con.0006.CDS.40526.41566.fwd,PATRIC,CDS,40526,41566,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5464,fig:287.12498.peg.1117,,,PATRIC.287.12498.287.12498.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5528,fig:287.12499.peg.1751,,,PATRIC.287.12499.287.12499.con.0004.CDS.353970.354884.rev,PATRIC,CDS,353970,354884,915,-,,PLF_286_00001745,PGF_00780840,,304,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH15083,fig:287.12500.peg.3877,,,PATRIC.287.12500.287.12500.con.0009.CDS.40168.41187.fwd,PATRIC,CDS,40168,41187,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH15275,fig:287.12502.peg.4796,,,PATRIC.287.12502.287.12502.con.0009.CDS.225667.226686.rev,PATRIC,CDS,225667,226686,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH1525,fig:287.12503.peg.549,,,PATRIC.287.12503.287.12503.con.0002.CDS.38771.39796.fwd,PATRIC,CDS,38771,39796,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
